Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;SunDownTime;RulesEngineArgument;16:37;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;SunUpDownType;Configuration;Mathematical;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;SunUpTime;RulesEngineArgument;08:06;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Systemvariable;Temperature;Result;7.200000;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Systemvariable;Time;Result;0;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Systemvariable;TimerEvents;Result;0;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;UpTime;Configuration;07:00;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;UpdateTime;RulesEngineArgument;<Empty>;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Systemvariable;Workingday;Result;false;7a2e8b57-84fe-d775-0000-00006560f6fb;;;;
Parameter;Cycle;RulesEngineArgument;Freizeit;7a2e8b57-84fe-d775-0000-00006561171b;end-of-day;1700861723810;Success;
Systemvariable;DailyEvents;Result;"T0:7.0;T1:8.06;T6:17.15";7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;Date;RulesEngineArgument;25.11.2023;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Systemvariable;LastBatchrun;Result;24.11.2023-22:35:25;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;MaxForecastTemperature;RulesEngineArgument;7.2;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;MaxSunDownTime;Configuration;22:15;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;MaxSunUpTime;Configuration;10:00;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;MinSunDownTime;Configuration;17:15;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;MinSunUpTime;Configuration;05:30;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Systemvariable;Month;Result;10;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;ShadowTemperature;Configuration;25.0;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;ShadowTime;Configuration;09:00;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;SunDownTime;RulesEngineArgument;16:37;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;SunUpDownType;Configuration;Mathematical;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;SunUpTime;RulesEngineArgument;08:06;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Systemvariable;Temperature;Result;7.200000;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Systemvariable;Time;Result;0;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Systemvariable;TimerEvents;Result;0;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;UpTime;Configuration;07:00;7a2e8b57-84fe-d775-0000-00006561171b;;;;
Parameter;UpdateTime;RulesEngineArgument;<Empty>;7a2e8b57-84fe-d775-0000-00006561171b;;;;
